TotalConfirmedCumulative	DailyRecovered
2020-01-15	1	0
2020-01-24	2	0
2020-01-25	3	0
2020-01-26	4	0
2020-01-28	7	0
2020-01-29	8	0
2020-01-30	13	0
2020-01-31	14	0
2020-02-01	18	0
2020-02-04	20	0
2020-02-05	23	0
2020-02-08	24	0
2020-02-10	26	0
2020-02-11	27	0
2020-02-12	28	0
2020-02-13	33	0
2020-02-14	43	0
2020-02-15	54	0
2020-02-16	60	12
2020-02-17	67	4
2020-02-18	79	2
2020-02-19	85	0
2020-02-20	95	2
2020-02-21	112	2
2020-02-22	137	0
2020-02-23	149	1
2020-02-24	160	0
2020-02-25	173	0
2020-02-26	192	13
2020-02-27	218	1
2020-02-28	236	4
2020-02-29	245	0
2020-03-01	259	0
2020-03-02	278	1
2020-03-03	298	4
2020-03-04	333	0
2020-03-05	365	0
2020-03-06	420	0
2020-03-07	466	4
2020-03-08	499	7
2020-03-09	527	29
2020-03-10	585	0
2020-03-11	640	32
2020-03-12	696	0
2020-03-13	733	0
2020-03-14	795	4
2020-03-15	826	12
2020-03-16	843	5
2020-03-17	893	5
2020-03-18	928	0
2020-03-19	968	17
2020-03-20	1022	32
2020-03-21	1059	5
2020-03-22	1104	37
2020-03-23	1144	12
2020-03-24	1217	4
2020-03-25	1314	21
2020-03-26	1416	48
2020-03-27	1530	52
2020-03-28	1728	32
2020-03-29	1907	20
2020-03-30	2001	0
2020-03-31	2255	0
2020-04-01	2535	48
2020-04-02	2818	29
2020-04-03	3154	21
2020-04-04	3526	61
2020-04-05	3878	24
2020-04-06	4112	-3
2020-04-07	4487	36
2020-04-08	5023	4
2020-04-09	5617	2
2020-04-10	6253	33
2020-04-11	6954	110
2020-04-12	7476	-14
2020-04-13	7776	15
2020-04-14	8280	59
2020-04-15	8838	52
2020-04-16	9401	64
2020-04-17	9961	84
2020-04-18	10551	65
2020-04-19	10917	340
2020-04-20	11261	86
2020-04-21	11643	412
2020-04-22	12039	30
2020-04-23	12471	374
2020-04-24	12855	51
2020-04-25	13185	145
2020-04-26	13404	177
2020-04-27	13575	210
2020-04-28	13860	370
2020-04-29	14076	215
2020-04-30	14284	245
2020-05-01	14557	418
2020-05-02	14860	172
2020-05-03	15059	191
2020-05-04	15227	175
2020-05-05	15352	635
2020-05-06	15453	271
2020-05-07	15551	1459
2020-05-08	15638	701
2020-05-09	15752	425
2020-05-10	15821	262
2020-05-11	15858	255
2020-05-12	15945	1090
2020-05-13	15995	143
2020-05-14	16093	523
2020-05-15	16145	605
2020-05-16	16199	296
2020-05-17	16223	92
2020-05-18	16256	287
2020-05-19	16284	451
2020-05-20	16318	277
2020-05-21	16359	318
2020-05-22	16382	257
2020-05-23	16407	57
2020-05-24	16448	204
2020-05-25	16469	222
2020-05-26	16498	243
2020-05-27	16533	175
2020-05-28	16593	123
2020-05-29	16668	117
2020-05-30	16712	54
2020-05-31	16746	75
2020-06-01	16783	121
2020-06-02	16834	122
2020-06-03	16864	117
2020-06-04	16912	83
2020-06-05	16955	114
2020-06-06	17003	28
2020-06-07	17039	56
2020-06-08	17060	60
2020-06-09	17107	98
2020-06-10	17146	76
2020-06-11	17188	38
2020-06-12	17249	73
2020-06-13	17293	131
2020-06-14	17368	55
2020-06-15	17439	53
2020-06-16	17483	134
2020-06-17	17532	52
2020-06-18	17588	0
